sumOfAnimals;sumOfGrasses;sumEnergyAlive;averageLiveLength;averageChildrensAlive
21;77;94.0;0.0;0.0
21;79;92.0;0.0;0.0
21;80;91.0;0.0;0.0
21;82;89.0;0.0;0.0
22;84;83.0;0.0;0.0
23;84;78.0;0.0;0.0
24;86;73.0;0.0;0.0
24;87;72.0;0.0;0.0
25;89;67.0;0.0;0.0
26;89;63.0;0.0;0.0
26;91;61.0;0.0;0.0
26;91;60.0;0.0;0.0
